workbook_name,sheet_name,sheet_state,max_row_reported,max_column_reported,rows_scanned,columns_scanned,first_non_empty_row_candidate,probable_header_row,probable_data_start_row,blank_rows_in_sample,sample_non_empty_cells,region_keyword_hits,year_keyword_hits,total_keyword_hits,source_keyword_hits,region_candidate_count,year_candidate_count,detected_years,analytical_clues
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21,visible,29,19,29,19,1,14,15,0,199,0,4,18,0,0,0,,"year, physician, nurse"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.22,visible,34,9,34,9,1,4,5,8,176,0,3,15,0,0,0,,"year, bed, physician"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.23,visible,176,21,40,21,1,14,15,0,498,2,1,36,0,9,0,,"region, year, physician, nurse"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.24,visible,158,21,40,21,1,13,14,0,498,2,3,36,0,9,0,,"region, year, bed, physician"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.25,visible,24,56,24,40,1,4,5,7,257,0,1,4,0,2,0,,"year, hospital, bed"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.26,visible,119,21,40,21,1,14,15,0,476,0,1,36,1,1,0,,"year, hospital, physician, nurse"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.27,visible,131,24,40,24,1,7,8,0,607,0,4,10,0,0,0,,"year, hospital, bed, physician"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.28,visible,78,19,40,19,1,12,13,11,200,0,4,18,0,0,0,,"year, physician, nurse"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.29,visible,31,29,31,29,1,4,7,6,246,4,1,2,0,18,0,,"region, year, hospital, bed, physician"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.30,visible,29,25,29,25,1,5,7,3,383,4,1,2,0,18,0,,"region, year, hospital, bed"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.31,visible,20,40,20,40,1,4,5,0,378,4,2,4,0,15,0,,"region, year, hospital, bed"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.32,visible,17,37,17,37,1,4,5,0,241,5,3,4,0,9,0,,"region, year, physician"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-33,visible,78,16,40,16,1,12,13,11,199,0,4,18,0,0,0,,"year, physician, nurse"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.34,visible,181,24,40,24,1,14,15,0,498,2,1,36,0,9,0,,"region, year, physician, nurse"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.35,visible,178,17,40,17,1,14,15,0,498,2,1,36,0,9,0,,"region, year, hospital, physician, nurse"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.36,visible,176,16,40,16,1,14,15,0,498,2,1,36,0,9,0,,"region, year, physician, nurse"
