comparison_group_id,source_year,workbook_name,sheet_name,chapter,topic,likely_table_title,geography_level_candidate,max_rows,max_columns,probable_header_row,probable_data_start_row,region_candidate_count,detected_years,group_geography_levels,comparison_status,manual_validation_required
FY-018,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7,Health Activities,Capacity,"First Aid Centers and Ambulances of the Saudi Red Crescent Authority by Administrative Region, 2021G.",Health Region,26,7,6,7,20,,Health Region,CANDIDATE_ONLY,YES
FY-018,2022,2022-Chapter-IV-Health-Activities.xlsx,7,Health Activities,Capacity,"First Aid Centers and Ambulances of the Saudi Red Crescent Authority by Administrative Region, 2022G.",Health Region,26,7,6,7,20,,Health Region,CANDIDATE_ONLY,YES
FY-018,2023,Statistical-Yearbook-2023.xlsx,7..,Unknown / Other,Capacity,"First Aid Centers and Ambulances of the Saudi Red Crescent Authority by Administrative Region, 2023G.",Health Region,26,7,6,7,21,,Health Region,CANDIDATE_ONLY,YES
FY-018,2024,Statistical-Yearbook-2024.xlsx,4-8,Health Activities,Capacity,"First Aid Centers and Ambulances of the Saudi Red Crescent Authority by Administrative Region, 2024G.",Health Region,26,7,6,7,26,,Health Region,CANDIDATE_ONLY,YES
FY-019,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,9,Health Activities,Other,Cases Offered First Aid and Transported by Ambulances of Saudi Red Crescent Authority by Administrative Region in the last Five Years,Health Region,32,12,5,6,20,,Health Region,CANDIDATE_ONLY,YES
FY-019,2022,2022-Chapter-IV-Health-Activities.xlsx,9,Health Activities,Other,Cases Offered First Aid and Transported by Ambulances of Saudi Red Crescent Authority by Administrative Region in the last Five Years,Health Region,32,12,5,6,20,,Health Region,CANDIDATE_ONLY,YES
FY-019,2023,Statistical-Yearbook-2023.xlsx,9..,Unknown / Other,Other,Cases Offered First Aid and Transported by Ambulances of Saudi Red Crescent Authority by Administrative Region in the last Five Years,Health Region,32,14,5,6,21,,Health Region,CANDIDATE_ONLY,YES
FY-019,2024,Statistical-Yearbook-2024.xlsx,4-10,Health Activities,Other,Cases Offered First Aid and Transported by Ambulances of Saudi Red Crescent Authority by Administrative Region in the last Five Years,Health Region,21,15,5,6,25,,Health Region,CANDIDATE_ONLY,YES
FY-020,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,12,Health Activities,Population | Activity,زيارات المراجعين للقطاعات الصحية بالمملكة ومتوسط عدد الزيارات لكل فرد من السكان في الأعوام الخمسة الأخيرة,Unknown / National / Other,20,9,5,6,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-020,2022,2022-Chapter-IV-Health-Activities.xlsx,12,Health Activities,Population | Activity,زيارات المراجعين للقطاعات الصحية بالمملكة ومتوسط عدد الزيارات لكل فرد من السكان في الأعوام الخمسة الأخيرة,Unknown / National / Other,25,9,9,10,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-020,2023,Statistical-Yearbook-2023.xlsx,12..,Unknown / Other,Population | Activity,زيارات المراجعين للقطاعات الصحية بالمملكة ومتوسط عدد الزيارات لكل فرد من السكان في الأعوام الخمسة الأخيرة,Unknown / National / Other,25,9,9,10,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-020,2024,Statistical-Yearbook-2024.xlsx,4-15,Health Activities,Population | Activity,زيارات المراجعين للقطاعات الصحية بالمملكة ومتوسط عدد الزيارات لكل فرد من السكان في الأعوام الخمسة الأخيرة,Unknown / National / Other,25,9,9,10,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-021,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,15,Health Activities,Activity,"Outpatients and Inpatients in Mental Health Departments, MOH, According to Main Disease Groups of ICD-10, 2021G.",Unknown / National / Other,20,10,5,6,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-021,2022,2022-Chapter-IV-Health-Activities.xlsx,15,Health Activities,Activity,"Outpatients and Inpatients in Mental Health Departments, MOH, According to Main Disease Groups of ICD-10, 2022G.",Unknown / National / Other,20,10,5,6,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-021,2023,Statistical-Yearbook-2023.xlsx,15..,Unknown / Other,Activity,"Outpatients and Inpatients in Mental Health Departments, MOH, According to Main Disease Groups of ICD-10, 2023G.",Unknown / National / Other,20,10,5,6,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
