year_a,workbook_a,sheet_a,title_a,year_b,workbook_b,sheet_b,title_b,topic,similarity_score,manual_validation_required
2022,2022-Chapter-II-Health-Resources.xlsx,2.24,الأطباء بمراكز الرعاية الصحية الأولية بوزارة الصحة حسب التخصصات الرئيسية والجنسية والجنس والمنطقة الصحية عام 2022م.,2023,Statistical-Yearbook-2023.xlsx,29,الأطباء بمراكز الرعاية الصحية الأولية بوزارة الصحة حسب التخصصات الرئيسية والجنسية والجنس والمنطقة الصحية عام 2023م.,Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.25,"Hospital Beds in Other Governmental Sector by Speciality, 2022G.",2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.25,"Hospital Beds in Other Governmental Sector by Speciality, 2021G.",Capacity | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.25,"Hospital Beds in Other Governmental Sector by Speciality, 2022G.",2023,Statistical-Yearbook-2023.xlsx,30,"Hospital Beds in Other Governmental Sector by Speciality, 2023G.",Capacity | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.25,"Hospital Beds in Other Governmental Sector by Speciality, 2022G.",2024,Statistical-Yearbook-2024.xlsx,2-10,"Hospital Beds in Other Governmental Sector by Speciality, 2024G.",Capacity | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.26,"Health Manpower in Other Governmental Sector by Category,Sex and Nationality, 2022G.",2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.26,"Health Manpower in Other Governmental Sector by Category,Sex and Nationality, 2021G.",Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.26,"Health Manpower in Other Governmental Sector by Category,Sex and Nationality, 2022G.",2023,Statistical-Yearbook-2023.xlsx,31,"Health Manpower in Other Governmental Sector by Category,Sex and Nationality, 2023G.",Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.27,"Physicians & Dentists in Other Governmental Sector by Speciality and Nationality, 2022G.",2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.27,"Physicians & Dentists in Other Governmental Sector by Speciality and Nationality, 2021G.",Capacity | Workforce | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.27,"Physicians & Dentists in Other Governmental Sector by Speciality and Nationality, 2022G.",2023,Statistical-Yearbook-2023.xlsx,32,"Physicians & Dentists in Other Governmental Sector by Speciality and Nationality, 2023G.",Capacity | Workforce | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.28,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.28,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.28,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",2023,Statistical-Yearbook-2023.xlsx,33,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",Workforce,1.0,YES
