comparison_group_id,source_year,topic,workbook_name,sheet_name,grain_candidate,geography_candidate,units_candidate,confirmed_grain,confirmed_key_columns,confirmed_measure_columns,manual_status
FY-028,2022,Activity,2022-Chapter-IV-Health-Activities.xlsx,42,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-028,2023,Activity,Statistical-Yearbook-2023.xlsx,43.,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-028,2024,Activity,Statistical-Yearbook-2024.xlsx,4-55,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-029,2021,Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,47,Year × Health Region × Activity Type,HEALTH_REGION,COUNT,,,,PENDING
FY-029,2022,Activity,2022-Chapter-IV-Health-Activities.xlsx,45,Year × Health Region × Activity Type,HEALTH_REGION,COUNT,,,,PENDING
FY-029,2023,Activity,Statistical-Yearbook-2023.xlsx,46.,Year × Health Region × Activity Type,HEALTH_REGION,COUNT,,,,PENDING
FY-029,2024,Activity,Statistical-Yearbook-2024.xlsx,4-59,Year × Health Region × Activity Type,HEALTH_REGION,COUNT,,,,PENDING
FY-030,2021,Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,48,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-030,2021,Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,54,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-030,2022,Activity,2022-Chapter-IV-Health-Activities.xlsx,46,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-030,2022,Activity,2022-Chapter-IV-Health-Activities.xlsx,52,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-030,2023,Activity,Statistical-Yearbook-2023.xlsx,47.,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-030,2023,Activity,Statistical-Yearbook-2023.xlsx,53.,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-030,2023,Activity,Statistical-Yearbook-2023.xlsx,5-12,Year × Health Region × Activity Type,HEALTH_REGION,,,,,PENDING
FY-030,2024,Activity,Statistical-Yearbook-2024.xlsx,4-60,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-030,2024,Activity,Statistical-Yearbook-2024.xlsx,4-64,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-030,2024,Activity,Statistical-Yearbook-2024.xlsx,5-12,Year × Health Region × Activity Type,HEALTH_REGION,,,,,PENDING
FY-031,2021,Capacity | Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,49,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-031,2022,Capacity | Activity,2022-Chapter-IV-Health-Activities.xlsx,47,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
