workbook_name,sheet_index,sheet_name,max_row,max_column,sheet_state
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,47,41,37,4,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,48,42,26,7,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,49,43,45,41,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,50,44,20,12,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,51,45,73,14,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,52,4.50,26,5,hidden
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,53,46,16,34,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,54,47,26,8,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,55,48,9,23,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,56,49,45,12,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,57,50,27,8,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,58,51,24,13,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,59,52,23,14,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,60,53,29,46,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,61,54,26,30,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,62,55,13,7,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,63,56,28,20,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,64,57,27,23,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,65,58,16,14,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,66,59,15,4,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,67,60,29,9,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,68,61,27,6,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,69,مؤشرات أداء الصحة,1,1,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,70,fig1,48,25,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,71,fig2,41,26,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,72,fig3,45,26,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,73,fig4,42,26,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,74,fig5,46,26,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,75,fig6,44,26,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,76,fig7,54,26,visible
Statistical-Yearbook-2023.xlsx,1,فهرس الباب الأول,28,38,visible
Statistical-Yearbook-2023.xlsx,2,1,22,14,visible
Statistical-Yearbook-2023.xlsx,3,2,33,16,visible
Statistical-Yearbook-2023.xlsx,4,3,50,21,visible
Statistical-Yearbook-2023.xlsx,5,4,35,17,visible
Statistical-Yearbook-2023.xlsx,6,5,18,7,visible
Statistical-Yearbook-2023.xlsx,7,6,11,12,visible
Statistical-Yearbook-2023.xlsx,8,7,23,6,visible
Statistical-Yearbook-2023.xlsx,9,8,23,5,visible
Statistical-Yearbook-2023.xlsx,10,9,18,10,visible
Statistical-Yearbook-2023.xlsx,11,10,32,8,visible
Statistical-Yearbook-2023.xlsx,12,11,13,12,visible
Statistical-Yearbook-2023.xlsx,13,12,14,12,visible
Statistical-Yearbook-2023.xlsx,14,13,28,8,visible
Statistical-Yearbook-2023.xlsx,15,فهرس الباب الثاني,108,38,visible
Statistical-Yearbook-2023.xlsx,16,1.,16,4,visible
Statistical-Yearbook-2023.xlsx,17,2.,17,29,visible
Statistical-Yearbook-2023.xlsx,18,3.,29,12,visible
Statistical-Yearbook-2023.xlsx,19,4.,38,26,visible
Statistical-Yearbook-2023.xlsx,20,5.,49,18,visible
Statistical-Yearbook-2023.xlsx,21,6.,31,21,visible
Statistical-Yearbook-2023.xlsx,22,7.,43,22,visible
Statistical-Yearbook-2023.xlsx,23,8.,43,22,visible
Statistical-Yearbook-2023.xlsx,24,9.,46,24,visible
Statistical-Yearbook-2023.xlsx,25,10.,46,24,visible
Statistical-Yearbook-2023.xlsx,26,11.,43,21,visible
Statistical-Yearbook-2023.xlsx,27,12.,176,21,visible
Statistical-Yearbook-2023.xlsx,28,13.,29,19,visible
Statistical-Yearbook-2023.xlsx,29,14,29,10,visible
Statistical-Yearbook-2023.xlsx,30,15,32,14,visible
Statistical-Yearbook-2023.xlsx,31,16,30,24,visible
Statistical-Yearbook-2023.xlsx,32,17,34,20,visible
Statistical-Yearbook-2023.xlsx,33,18,29,19,visible
Statistical-Yearbook-2023.xlsx,34,19,77,38,visible
Statistical-Yearbook-2023.xlsx,35,20,29,19,visible
Statistical-Yearbook-2023.xlsx,36,21,27,12,visible
Statistical-Yearbook-2023.xlsx,37,22,29,19,visible
Statistical-Yearbook-2023.xlsx,38,23,176,21,visible
Statistical-Yearbook-2023.xlsx,39,24,131,75,visible
Statistical-Yearbook-2023.xlsx,40,25,31,11,visible
Statistical-Yearbook-2023.xlsx,41,26,29,19,visible
Statistical-Yearbook-2023.xlsx,42,27,34,9,visible
Statistical-Yearbook-2023.xlsx,43,28,176,21,visible
Statistical-Yearbook-2023.xlsx,44,29,158,21,visible
Statistical-Yearbook-2023.xlsx,45,30,14,37,visible
Statistical-Yearbook-2023.xlsx,46,31,120,28,visible
Statistical-Yearbook-2023.xlsx,47,32,130,24,visible
Statistical-Yearbook-2023.xlsx,48,33,29,19,visible
Statistical-Yearbook-2023.xlsx,49,34,31,29,visible
Statistical-Yearbook-2023.xlsx,50,35,29,28,visible
Statistical-Yearbook-2023.xlsx,51,36,20,40,visible
Statistical-Yearbook-2023.xlsx,52,37,17,37,visible
Statistical-Yearbook-2023.xlsx,53,38,29,16,visible
Statistical-Yearbook-2023.xlsx,54,39,181,24,visible
Statistical-Yearbook-2023.xlsx,55,40,178,17,visible
Statistical-Yearbook-2023.xlsx,56,41,176,16,visible
Statistical-Yearbook-2023.xlsx,57,42,131,31,visible
Statistical-Yearbook-2023.xlsx,58,43,31,32,visible
Statistical-Yearbook-2023.xlsx,59,44,70,10,visible
Statistical-Yearbook-2023.xlsx,60,45,58,10,visible
Statistical-Yearbook-2023.xlsx,61,46,70,7,visible
Statistical-Yearbook-2023.xlsx,62,47,29,58,visible
Statistical-Yearbook-2023.xlsx,63,48,35,4,visible
Statistical-Yearbook-2023.xlsx,64,49,126,7,visible
Statistical-Yearbook-2023.xlsx,65,50,112,7,visible
Statistical-Yearbook-2023.xlsx,66,51,153,10,visible
Statistical-Yearbook-2023.xlsx,67,52,44,31,visible
Statistical-Yearbook-2023.xlsx,68,53,139,84,visible
Statistical-Yearbook-2023.xlsx,69,فهرس الباب الثالث,50,39,visible
Statistical-Yearbook-2023.xlsx,70,3-1,15,8,visible
Statistical-Yearbook-2023.xlsx,71,3-2,53,31,visible
Statistical-Yearbook-2023.xlsx,72,3-2تكملة,27,37,visible
Statistical-Yearbook-2023.xlsx,73,3-3,37,16,visible
Statistical-Yearbook-2023.xlsx,74,3-4,38,10,visible
Statistical-Yearbook-2023.xlsx,75,3-5,220,18,visible
Statistical-Yearbook-2023.xlsx,76,3-6,101,16,visible
Statistical-Yearbook-2023.xlsx,77,3-7,38,19,visible
Statistical-Yearbook-2023.xlsx,78,3-8,37,19,visible
Statistical-Yearbook-2023.xlsx,79,3.9,35,8,visible
Statistical-Yearbook-2023.xlsx,80,3-10,30,12,visible
Statistical-Yearbook-2023.xlsx,81,3-11,32,15,visible
Statistical-Yearbook-2023.xlsx,82,3-12,1005,10,visible
Statistical-Yearbook-2023.xlsx,83,3-13,35,18,visible
Statistical-Yearbook-2023.xlsx,84,3-14,28,24,visible
Statistical-Yearbook-2023.xlsx,85,3-15,28,16,visible
Statistical-Yearbook-2023.xlsx,86,3-16,20,16,visible
Statistical-Yearbook-2023.xlsx,87,3-17,17,10,visible
Statistical-Yearbook-2023.xlsx,88,3-18,54,20,visible
Statistical-Yearbook-2023.xlsx,89,3-19,29,12,visible
Statistical-Yearbook-2023.xlsx,90,3-20,18,15,visible
Statistical-Yearbook-2023.xlsx,91,3-21,11,8,visible
Statistical-Yearbook-2023.xlsx,92,3.22,28,17,visible
Statistical-Yearbook-2023.xlsx,93,3-23,28,12,visible
Statistical-Yearbook-2023.xlsx,94,فهرس الباب الرابع,122,38,visible
Statistical-Yearbook-2023.xlsx,95,1..,29,15,visible
Statistical-Yearbook-2023.xlsx,96,2..,26,12,visible
Statistical-Yearbook-2023.xlsx,97,3..,27,7,visible
Statistical-Yearbook-2023.xlsx,98,4..,34,13,visible
Statistical-Yearbook-2023.xlsx,99,5..,29,38,visible
Statistical-Yearbook-2023.xlsx,100,6..,48,25,visible
Statistical-Yearbook-2023.xlsx,101,7..,26,7,visible
Statistical-Yearbook-2023.xlsx,102,8..,21,10,visible
Statistical-Yearbook-2023.xlsx,103,9..,32,14,visible
Statistical-Yearbook-2023.xlsx,104,10..,79,15,visible
Statistical-Yearbook-2023.xlsx,105,11..,22,13,visible
Statistical-Yearbook-2023.xlsx,106,12..,25,9,visible
Statistical-Yearbook-2023.xlsx,107,13..,47,13,visible
Statistical-Yearbook-2023.xlsx,108,14..,18,5,visible
Statistical-Yearbook-2023.xlsx,109,15..,20,10,visible
Statistical-Yearbook-2023.xlsx,110,16..,31,8,visible
Statistical-Yearbook-2023.xlsx,111,17..,32,14,visible
Statistical-Yearbook-2023.xlsx,112,18.,31,7,visible
Statistical-Yearbook-2023.xlsx,113,19.,32,8,visible
Statistical-Yearbook-2023.xlsx,114,20.,28,10,visible
Statistical-Yearbook-2023.xlsx,115,21.,29,25,visible
Statistical-Yearbook-2023.xlsx,116,22.,28,9,visible
Statistical-Yearbook-2023.xlsx,117,23.,37,15,visible
